participant_id	session	mean_fd
sub-02	ses-pre	0.0525
sub-02	ses-post	0.0631
sub-03	ses-pre	0.0388
sub-03	ses-post	0.0461
sub-04	ses-pre	0.0866
sub-04	ses-post	0.1030
sub-05	ses-pre	0.0485
sub-05	ses-post	0.0393
sub-06	ses-pre	0.0602
sub-06	ses-post	0.1102
sub-07	ses-pre	0.0593
sub-07	ses-post	0.0910
sub-08	ses-pre	0.1623
sub-08	ses-post	0.1217
sub-09	ses-pre	0.0757
sub-09	ses-post	0.0727
sub-10	ses-pre	0.0442
sub-10	ses-post	0.0661
sub-11	ses-pre	0.0689
sub-11	ses-post	0.0578
sub-12	ses-pre	0.1592
sub-12	ses-post	0.1507
sub-16	ses-pre	0.0857
sub-16	ses-post	0.0645
sub-17	ses-pre	0.0554
sub-17	ses-post	0.1447
sub-18	ses-pre	0.0447
sub-18	ses-post	0.0538
sub-19	ses-pre	0.0851
sub-19	ses-post	0.0735
sub-20	ses-pre	0.0569
sub-20	ses-post	0.1137
sub-13	ses-pre	0.0656
sub-13	ses-post	0.0587
sub-14	ses-pre	0.1064
sub-14	ses-post	0.1093
sub-15	ses-pre	0.0522
sub-15	ses-post	0.0775
sub-21	ses-pre	0.0605
sub-21	ses-post	0.0812
sub-22	ses-pre	0.0540
sub-22	ses-post	0.0485
sub-23	ses-pre	0.0886
sub-23	ses-post	0.0979
sub-24	ses-pre	0.0897
sub-24	ses-post	0.1287
sub-25	ses-pre	0.0564
sub-25	ses-post	0.0684
sub-26	ses-pre	0.0524
sub-26	ses-post	0.0754
sub-27	ses-pre	0.1604
sub-27	ses-post	0.1343
sub-28	ses-pre	0.0671
sub-28	ses-post	0.0478
sub-29	ses-pre	0.0834
sub-29	ses-post	0.0830
